submission_id,submission_date,gender,age,education,how_likely_to_social_distance_when_out_in_public
4904176409903104,2020 <12>>> 04,Male,16 to 25 years old,Secondary school/ high school completed,Very unlikely
5302419207749632,2020   11 16  ,Female,26 to 35 years old,University or college degree completed,Very likely
6316883998670848,  2020----12++++ 02,Female,16 to 25 years old,Technical school diploma or degree completed,Likely
6422354344542208,2020   11 16  ,Male,Over 45 years old,Some secondary school / high school,Likely
6301184156762112,2020 <11>>> 16,Female,16 to 25 years old,University or college degree completed,Unlikely
5985151134990336,<li>2020 11 20</li>,Female,36 to 45 years old,Primary school,Likely
4954429179822080,2020   11 16  ,Female,26 to 35 years old,College or university,Likely
5471233132199936,2020   11 17  ,Male,26 to 35 years old,University or college degree completed,Likely
5318633648816128,2020 <11>>> 16,Male,Over 45 years old,Post-graduate education,Likely
5886296481595392,<li>2020 12 07</li>,Female,16 to 25 years old,Some technical education (e.g polytechnic school),Very likely
6511497378529280,<li>2021 01 13</li>,Female,36 to 45 years old,University or college degree completed,Likely
6491296245219328,  2020----12++++ 05,Male,16 to 25 years old,Secondary school/ high school completed,Very likely
4672672077447168,<li>2020 11 21</li>,Female,Over 45 years old,Technical school diploma or degree completed,Likely
6391088022814720,  2020----11++++ 16,Female,Over 45 years old,Primary school completed,Very likely
6103683617259520,<li>2021 01 11</li>,Female,Over 45 years old,Secondary school/ high school completed,Likely
6046841134383104,<li>2020 12 16</li>,Male,16 to 25 years old,Secondary/high school,Likely
4979407300329472,2020 <11>>> 16,Male,36 to 45 years old,Technical school diploma or degree completed,Likely
4653819016511488,2020   11 16  ,Female,36 to 45 years old,University or college degree completed,Neither likely nor unlikely
5761899372478464,2020 <11>>> 17,Male,Over 45 years old,College or university,Likely
5855249276600320,2021   01 22  ,Female,16 to 25 years old,Technical school diploma or degree completed,Very likely
6458808928043008,<li>2021 01 07</li>,Male,16 to 25 years old,Some university or college,Likely
5453420485148672,2020   12 07  ,Female,Under 16,University or college degree completed,Very likely
5474141118660608,<li>2020 12 11</li>,Male,36 to 45 years old,Secondary/high school,Unlikely
4914353804673024,2020 <12>>> 02,Female,16 to 25 years old,Some technical education (e.g polytechnic school),Unlikely
6207042131066880,  2020----11++++ 18,Female,Over 45 years old,Secondary/high school,Very likely
6633842049024000,2020 <12>>> 07,Female,26 to 35 years old,Technical school,Likely
5561480302034944,2020 <12>>> 14,Female,36 to 45 years old,Secondary school/ high school completed,Likely
6303527808008192,  2021----01++++ 15,Female,26 to 35 years old,University or college degree completed,Very likely
5560382149361664,  2020----12++++ 03,Female,16 to 25 years old,Some university or college,Unlikely
5334253698285568,2020 <11>>> 26,Male,26 to 35 years old,College or university,Likely
6251291862106112,<li>2020 12 07</li>,Female,26 to 35 years old,Technical school diploma or degree completed,Very likely
6364971165548544,  2020----11++++ 16,Male,Over 45 years old,University or college degree completed,Neither likely nor unlikely
6403242402775040,2020 <12>>> 17,Female,26 to 35 years old,Technical school diploma or degree completed,Likely
6513155758096384,  2020----12++++ 14,Male,16 to 25 years old,Secondary school/ high school completed,Very likely
6086577618157568,  2020----11++++ 21,Male,Over 45 years old,Technical school diploma or degree completed,Likely
6022806925213696,2020   11 17  ,Male,36 to 45 years old,University or college degree completed,Neither likely nor unlikely
5614333951475712,2020   12 15  ,Male,26 to 35 years old,Technical school,Likely
5834167867932672,2020 <11>>> 18,Male,26 to 35 years old,Some university or college,Very likely
6264589181517824,<li>2020 11 24</li>,Female,26 to 35 years old,Post graduate,Very likely
4563105138081792,2020 <11>>> 27,Male,16 to 25 years old,Some university or college,Very likely
5634039670374400,2021 <01>>> 23,Female,36 to 45 years old,Technical school diploma or degree completed,Very likely
6642107663253504,  2021----01++++ 15,Male,Over 45 years old,Some secondary school / high school,Likely
6094604417105920,2020 <11>>> 16,Male,Over 45 years old,University or college degree completed,Very likely
5507410908413952,  2020----12++++ 15,Female,16 to 25 years old,University or college degree completed,Very likely
6281091695771648,<li>2020 11 21</li>,Male,16 to 25 years old,Secondary/high school,Likely
4645306416496640,<li>2020 12 08</li>,Male,26 to 35 years old,Technical school diploma or degree completed,Likely
6484442500825088,2020   12 30  ,Female,Over 45 years old,University or college degree completed,Very likely
4552221657399296,2020   12 06  ,Female,36 to 45 years old,University or college degree completed,Very likely
6593669584125952,<li>2020 11 16</li>,Male,Over 45 years old,Technical school diploma or degree completed,Very likely
6001722542784512,<li>2021 01 21</li>,Female,26 to 35 years old,Some technical education (e.g polytechnic school),Very likely
6159177094529024,  2020----12++++ 07,Male,36 to 45 years old,Technical school diploma or degree completed,Likely
6753654062448640,2020   11 22  ,Male,26 to 35 years old,Technical school diploma or degree completed,Likely
4620658211553280,2020 <11>>> 16,Male,16 to 25 years old,University or college degree completed,Likely
6150146103705600,<li>2021 01 13</li>,Male,16 to 25 years old,Secondary school/ high school completed,Very likely
5533002303275008,  2020----12++++ 06,Female,36 to 45 years old,Secondary/high school,Likely
4932307126583296,2021   01 22  ,Female,26 to 35 years old,Secondary school/ high school completed,Very likely
4824930840739840,  2020----11++++ 27,Female,16 to 25 years old,Secondary/high school,Very likely
6189177977962496,<li>2020 12 16</li>,Male,16 to 25 years old,Technical school,Very likely
5886842487701504,<li>2020 11 16</li>,Male,26 to 35 years old,University or college degree completed,Likely
6638162819678208,2020 <11>>> 20,Female,36 to 45 years old,College or university,Likely
6216650543333376,2020 <11>>> 24,Male,16 to 25 years old,Secondary/high school,Likely
5847165001007104,2020 <12>>> 07,Male,26 to 35 years old,College or university,Neither likely nor unlikely
6060848155197440,2020   11 17  ,Male,Over 45 years old,Technical school diploma or degree completed,Neither likely nor unlikely
6670507396300800,  2021----01++++ 05,Female,16 to 25 years old,University or college degree completed,Unlikely
5410586382041088,2020 <12>>> 06,Female,Over 45 years old,Some secondary school / high school,Very likely
5592427370119168,2020   12 11  ,Female,Over 45 years old,College or university,Unlikely
5864050060951552,2020   12 06  ,Female,36 to 45 years old,College or university,Likely
4755390354161664,2020   12 06  ,Female,Over 45 years old,Post graduate,Likely
6666025235120128,  2021----01++++ 19,Female,16 to 25 years old,Secondary school/ high school completed,Neither likely nor unlikely
6092631852711936,2020 <11>>> 17,Female,26 to 35 years old,Post-graduate education,Likely
5077092606935040,2020 <11>>> 16,Male,16 to 25 years old,Secondary school/ high school completed,Very likely
5273813517598720,2020 <11>>> 16,Male,36 to 45 years old,College or university,Very likely
6209540191420416,2020   11 16  ,Female,Over 45 years old,University or college degree completed,Likely
6077574014042112,2021   01 15  ,Male,16 to 25 years old,Some secondary school / high school,Very likely
4833847838769152,<li>2020 11 29</li>,Female,36 to 45 years old,University or college degree completed,Very likely
5869174292480000,2020 <12>>> 07,Female,26 to 35 years old,College or university,Very likely
5186416914202624,2021   01 18  ,Female,36 to 45 years old,University or college degree completed,Very likely
5221463369187328,2020   11 16  ,Male,Over 45 years old,University or college degree completed,Likely
4859149960871936,2020   11 16  ,Female,36 to 45 years old,College or university,Likely
4793706940203008,2020   11 19  ,Female,16 to 25 years old,Some university or college,Very likely
6233819473772544,2020   11 19  ,Female,26 to 35 years old,Post graduate,Unlikely
6737476766138368,2020   11 15  ,Male,36 to 45 years old,University or college degree completed,Likely
4988226369748992,<li>2020 12 21</li>,Female,16 to 25 years old,Some university or college,Neither likely nor unlikely
4670491106476032,<li>2020 11 16</li>,Male,36 to 45 years old,University or college degree completed,Very likely
5843053962330112,2021 <01>>> 14,Male,26 to 35 years old,Post-graduate education,Likely
4650006922657792,2020 <12>>> 10,Male,Over 45 years old,Some university or college,Very likely
4532593881251840,2021   01 13  ,Female,26 to 35 years old,Secondary school/ high school completed,Very likely
6032309171257344,2020   11 16  ,Female,Over 45 years old,University or college degree completed,Very likely
6123856793436160,2020   12 05  ,Female,Under 16,Prefer not to answer,Neither likely nor unlikely
5468887811620864,2020 <11>>> 16,Male,16 to 25 years old,Technical school diploma or degree completed,Unlikely
4749519033204736,<li>2020 12 16</li>,Male,16 to 25 years old,Secondary/high school,Unlikely
6010481088397312,<li>2021 01 22</li>,Female,Over 45 years old,Some secondary school / high school,Very likely
5328142463139840,<li>2020 12 10</li>,Female,26 to 35 years old,University or college degree completed,Very likely
4660489562095616,<li>2020 11 25</li>,Male,36 to 45 years old,Some secondary school / high school,Neither likely nor unlikely
6262390214885376,  2021----01++++ 09,Female,16 to 25 years old,Some university or college,Very likely
5675065785188352,2021 <01>>> 19,Female,16 to 25 years old,Technical school diploma or degree completed,Neither likely nor unlikely
6348740089872384,  2021----01++++ 02,Female,26 to 35 years old,University or college degree completed,Very likely
6703805396942848,2020 <11>>> 16,Female,26 to 35 years old,Technical school diploma or degree completed,Very likely
5619770094518272,2021   01 14  ,Female,16 to 25 years old,Some university or college,Unlikely
5067645960585216,  2020----11++++ 16,Male,36 to 45 years old,Some technical education (e.g polytechnic school),Very likely
6339208575975424,<li>2020 11 17</li>,Male,26 to 35 years old,University or college degree completed,Likely
5364689715593216,  2020----11++++ 25,Female,16 to 25 years old,College or university,Likely
5256785977147392,<li>2020 12 11</li>,Male,Over 45 years old,Secondary/high school,Unlikely
5651950365573120,<li>2021 01 07</li>,Male,26 to 35 years old,Secondary school/ high school completed,Very likely
4907109134368768,<li>2020 11 18</li>,Male,26 to 35 years old,Technical school diploma or degree completed,Likely
4894244742627328,2020   11 16  ,Male,26 to 35 years old,Secondary school/ high school completed,Very likely
5905739379113984,2020 <12>>> 18,Male,Over 45 years old,College or university,Very likely
5414067360759808,<li>2021 01 07</li>,Male,16 to 25 years old,Secondary school/ high school completed,Very likely
6033142711582720,  2021----01++++ 13,Female,36 to 45 years old,University or college degree completed,Very likely
6534943590318080,2020   11 21  ,Male,36 to 45 years old,Some technical education (e.g polytechnic school),Neither likely nor unlikely
6049748877574144,2020 <12>>> 06,Female,36 to 45 years old,Technical school diploma or degree completed,Likely
6472622364950528,2020 <11>>> 30,Female,26 to 35 years old,College or university,Likely
4913657248219136,<li>2020 12 14</li>,Prefer not to answer,16 to 25 years old,Some university or college,Very likely
5298534812483584,<li>2020 11 16</li>,Female,36 to 45 years old,University or college degree completed,Very likely
5292961832370176,<li>2020 12 26</li>,Female,26 to 35 years old,University or college degree completed,Very likely
5805330358599680,<li>2020 12 18</li>,Female,16 to 25 years old,Some university or college,Likely
4760775460913152,<li>2021 01 19</li>,Male,16 to 25 years old,Some secondary school / high school,Very likely
6505048176852992,2021 <01>>> 15,Female,26 to 35 years old,University or college degree completed,Very likely
5362147329835008,  2020----12++++ 16,Female,Over 45 years old,Technical school diploma or degree completed,Neither likely nor unlikely
6674943015387136,2020 <11>>> 20,Female,Over 45 years old,Secondary school/ high school completed,Unlikely
5397910515875840,<li>2020 12 06</li>,Female,16 to 25 years old,Technical school,Very unlikely
6083712916914176,  2020----11++++ 16,Female,36 to 45 years old,Post-graduate education,Very likely
5416418008104960,2020 <11>>> 17,Female,26 to 35 years old,University or college degree completed,Very likely
5739688452423680,<li>2020 11 20</li>,Female,26 to 35 years old,Post-graduate education,Likely
5392260150853632,2020 <12>>> 07,Male,Over 45 years old,Some secondary school / high school,Very likely
6273712069541888,<li>2020 11 16</li>,Female,Over 45 years old,Some secondary school / high school,Very likely
5411743338856448,2020   11 21  ,Male,16 to 25 years old,Some university or college,Likely
6187504433889280,<li>2021 01 06</li>,Male,Over 45 years old,Secondary school/ high school completed,Very likely
4834274114273280,2020 <11>>> 16,Female,26 to 35 years old,Technical school diploma or degree completed,Very likely
6728343040032768,2020   11 30  ,Male,16 to 25 years old,Some secondary school / high school,Likely
5267802744422400,2020 <11>>> 27,Female,26 to 35 years old,Some university or college,Likely
6119648002310144,2020 <11>>> 16,Male,26 to 35 years old,University or college degree completed,Likely
6292570625015808,2020   11 25  ,Female,26 to 35 years old,University or college degree completed,Very likely
5124722049417216,2020 <11>>> 16,Female,Over 45 years old,Some secondary school / high school,Likely
4553459235028992,2021   01 12  ,Male,36 to 45 years old,Secondary school/ high school completed,Unlikely
5051211199021056,2021   01 23  ,Female,26 to 35 years old,University or college degree completed,Likely
5476608820641792,  2020----11++++ 17,Male,Over 45 years old,College or university,Likely
6339951437545472,2020 <11>>> 17,Male,16 to 25 years old,Some technical education (e.g polytechnic school),Very likely
5346613573976064,  2020----12++++ 09,Male,16 to 25 years old,Secondary/high school,Likely
5159901832937472,  2021----01++++ 08,Male,16 to 25 years old,Some technical education (e.g polytechnic school),Very likely
5317066690396160,2020   11 16  ,Female,26 to 35 years old,Post-graduate education,Very likely
4591113358016512,2020 <11>>> 26,Male,26 to 35 years old,University or college degree completed,Neither likely nor unlikely
6054531499819008,<li>2020 12 05</li>,Male,16 to 25 years old,College or university,Very likely
6631805311778816,<li>2021 01 02</li>,Female,Over 45 years old,Some secondary school / high school,Likely
4508917590917120,2020 <11>>> 18,Male,Over 45 years old,Post-graduate education,Likely
6203350833168384,2020   12 06  ,Male,Under 16,Secondary/high school,Likely
4877350891421696,<li>2020 12 07</li>,Male,26 to 35 years old,College or university,Very likely
6414536170274816,  2021----01++++ 13,Male,26 to 35 years old,Some technical education (e.g polytechnic school),Very likely
4896059878014976,  2020----12++++ 16,Female,26 to 35 years old,University or college degree completed,Neither likely nor unlikely
6564634948796416,<li>2021 01 22</li>,Female,26 to 35 years old,Technical school diploma or degree completed,Very likely
6074073659736064,2020   12 12  ,Female,16 to 25 years old,Some secondary school / high school,Likely
5145122464595968,2020   11 28  ,Female,36 to 45 years old,Technical school diploma or degree completed,Likely
4878098651938816,2020 <11>>> 19,Male,26 to 35 years old,Secondary school/ high school completed,Likely
6753090457042944,2021   01 14  ,Female,26 to 35 years old,Technical school diploma or degree completed,Very likely
5334688806993920,  2020----11++++ 16,Male,16 to 25 years old,Some university or college,Very likely
4763822188658688,2020   11 17  ,Male,Under 16,Secondary/high school,Likely
4852160740458496,<li>2020 11 16</li>,Female,Over 45 years old,Technical school diploma or degree completed,Unlikely
4635558384238592,<li>2020 12 05</li>,Male,16 to 25 years old,Secondary/high school,Very likely
4824353075363840,  2020----11++++ 16,Female,Over 45 years old,Technical school diploma or degree completed,Very likely
4889413575507968,2020 <12>>> 07,Female,16 to 25 years old,Secondary/high school,Very likely
6569771561910272,<li>2021 01 22</li>,Female,26 to 35 years old,College or university,Unlikely
5947001087983616,2020   11 18  ,Female,26 to 35 years old,University or college degree completed,Very likely
5934618034569216,2021 <01>>> 07,Female,26 to 35 years old,University or college degree completed,Very likely
6724575279972352,  2020----12++++ 08,Male,16 to 25 years old,Technical school,Neither likely nor unlikely
5632958414454784,2020 <11>>> 18,Female,16 to 25 years old,Secondary school/ high school completed,Very likely
4891793591369728,<li>2020 11 16</li>,Female,16 to 25 years old,University or college degree completed,Neither likely nor unlikely
5665249513701376,2020 <12>>> 07,Male,16 to 25 years old,Secondary/high school,Very likely
5361285853347840,2020 <12>>> 03,Male,36 to 45 years old,Technical school diploma or degree completed,Unlikely
5822070731833344,  2021----01++++ 15,Male,26 to 35 years old,University or college degree completed,Very likely
5426862504542208,2021 <01>>> 05,Female,26 to 35 years old,Secondary school/ high school completed,Likely
4548489708306432,2020 <11>>> 16,Male,36 to 45 years old,Secondary school/ high school completed,Likely
4586047225987072,2021   01 07  ,Male,Over 45 years old,University or college degree completed,Very likely
4637270119546880,2021 <01>>> 23,Male,36 to 45 years old,Technical school diploma or degree completed,Unlikely
6746342753042432,  2020----11++++ 16,Female,Over 45 years old,University or college degree completed,Likely
6010481088397312,2021 <01>>> 22,Female,Over 45 years old,Some secondary school / high school,Very likely
5534836724072448,2020   12 05  ,Male,36 to 45 years old,College or university,Very likely
6685553597874176,<li>2020 11 29</li>,Female,16 to 25 years old,College or university,Likely
4678420320747520,2020   11 16  ,Male,26 to 35 years old,University or college degree completed,Very likely
4660820249411584,2020 <11>>> 20,Male,Over 45 years old,Technical school diploma or degree completed,Very likely
5218001088675840,  2020----11++++ 16,Female,Over 45 years old,University or college degree completed,Very likely
5736754662604800,2020   12 29  ,Female,26 to 35 years old,Secondary school/ high school completed,Very likely
6677462391193600,  2021----01++++ 09,Female,Over 45 years old,University or college degree completed,Likely
4747890183634944,2021 <01>>> 10,Male,Over 45 years old,Post-graduate education,Very likely
5351172681760768,  2020----12++++ 09,Female,26 to 35 years old,Secondary/high school,Unlikely
5363832053825536,  2021----01++++ 13,Male,16 to 25 years old,Some university or college,Likely
6423212004212736,2021 <01>>> 06,Male,16 to 25 years old,Secondary school/ high school completed,Very likely
5206170190217216,2020   12 12  ,Male,16 to 25 years old,Technical school diploma or degree completed,Neither likely nor unlikely
5856500187922432,<li>2020 11 16</li>,Female,16 to 25 years old,University or college degree completed,Likely
5554076139126784,<li>2020 11 21</li>,Male,Over 45 years old,University or college degree completed,Very likely
5503996768026624,  2021----01++++ 14,Male,16 to 25 years old,Secondary school/ high school completed,Very likely
5713271383654400,<li>2020 11 18</li>,Male,16 to 25 years old,Secondary school/ high school completed,Neither likely nor unlikely
6321083990147072,2021   01 03  ,Male,16 to 25 years old,Secondary school/ high school completed,Unlikely
6206514697338880,2021 <01>>> 16,Female,16 to 25 years old,Technical school diploma or degree completed,Neither likely nor unlikely
4512910492827648,2020   12 05  ,Male,36 to 45 years old,Technical school,Likely
6266105044926464,<li>2020 11 16</li>,Male,26 to 35 years old,Some university or college,Very likely
5854091013259264,2020   12 09  ,Female,Over 45 years old,University or college degree completed,Unlikely
5593761636941824,2020   11 21  ,Male,16 to 25 years old,Some university or college,Very likely
5449812855226368,  2020----11++++ 24,Male,Over 45 years old,Prefer not to answer,Neither likely nor unlikely
4506146456207360,2020 <12>>> 07,Female,26 to 35 years old,College or university,Likely
5164229824086016,<li>2021 01 19</li>,Female,26 to 35 years old,Technical school diploma or degree completed,Likely
4965504723976192,<li>2021 01 23</li>,Female,26 to 35 years old,University or college degree completed,Likely
5844461218430976,<li>2020 12 14</li>,Male,16 to 25 years old,University or college degree completed,Unlikely
6652383194251264,<li>2021 01 25</li>,Female,16 to 25 years old,Some primary education,Very likely
6521611542069248,2020   11 16  ,Male,16 to 25 years old,Secondary school/ high school completed,Likely
5652244510015488,2021 <01>>> 20,Female,26 to 35 years old,Post-graduate education,Very likely
6132893681451008,2020 <11>>> 16,Male,36 to 45 years old,University or college degree completed,Likely
5131714532999168,2021   01 07  ,Female,16 to 25 years old,Some university or college,Very likely
5930745282691072,<li>2021 01 11</li>,Female,36 to 45 years old,University or college degree completed,Very likely
5662297612877824,<li>2021 01 06</li>,Male,26 to 35 years old,Technical school diploma or degree completed,Unlikely
6377408216432640,2020   11 17  ,Female,26 to 35 years old,University or college degree completed,Neither likely nor unlikely
6374672431316992,2021 <01>>> 08,Female,Over 45 years old,University or college degree completed,Unlikely
6081540678483968,2020   12 29  ,Male,16 to 25 years old,Secondary school/ high school completed,Very likely
4741770643767296,  2020----12++++ 05,Female,26 to 35 years old,University or college degree completed,Likely
4790685573316608,2021   01 08  ,Male,26 to 35 years old,Secondary school/ high school completed,Very likely
5015564876775424,<li>2020 12 06</li>,Male,26 to 35 years old,Secondary school/ high school completed,Likely
5214875742896128,<li>2021 01 08</li>,Female,26 to 35 years old,College or university,Very likely
5616171501223936,  2020----11++++ 16,Male,16 to 25 years old,Secondary school/ high school completed,Very likely
5669609912139776,2020 <12>>> 08,Male,36 to 45 years old,Post-graduate education,Unlikely
5929742055505920,<li>2020 12 05</li>,Female,26 to 35 years old,Secondary/high school,Unlikely
5836721494425600,<li>2020 11 22</li>,Male,Over 45 years old,Some technical education (e.g polytechnic school),Very likely
6228196027793408,2021   01 13  ,Male,16 to 25 years old,Secondary school/ high school completed,Very likely
5015791996239872,2021   01 20  ,Male,16 to 25 years old,Some university or college,Likely
6691509375336448,<li>2020 11 22</li>,Female,Over 45 years old,University or college degree completed,Very likely
5019953704206336,<li>2020 11 16</li>,Male,26 to 35 years old,University or college degree completed,Likely
5019238088835072,2020 <12>>> 04,Female,26 to 35 years old,College or university,Very likely
4795234799321088,2020 <12>>> 10,Male,26 to 35 years old,University or college degree completed,Very likely
6741760895352832,2020 <11>>> 20,Female,26 to 35 years old,University or college degree completed,Neither likely nor unlikely
5264179637518336,<li>2020 11 16</li>,Female,Over 45 years old,University or college degree completed,Very likely
5372389023285248,2020   11 16  ,Female,36 to 45 years old,Some secondary school / high school,Very likely
6172764793995264,2020 <12>>> 07,Female,26 to 35 years old,Technical school,Likely
4779717921341440,2020   12 05  ,Male,16 to 25 years old,Secondary school/ high school completed,Very likely
4887567284830208,  2020----12++++ 26,Male,16 to 25 years old,Secondary school/ high school completed,Neither likely nor unlikely
6233649008869376,2020 <12>>> 17,Male,16 to 25 years old,Secondary/high school,Very likely
4546001915609088,2020   11 16  ,Male,26 to 35 years old,Secondary school/ high school completed,Very likely
6367502537064448,2020   12 19  ,Female,Over 45 years old,University or college degree completed,Very likely
5621775494021120,  2020----11++++ 16,Male,16 to 25 years old,Secondary school/ high school completed,Likely
4720196796547072,2020 <11>>> 16,Male,36 to 45 years old,University or college degree completed,Very likely
5703914797400064,  2020----11++++ 18,Female,36 to 45 years old,Some university or college,Likely
5354636361072640,2021 <01>>> 22,Male,Over 45 years old,Technical school diploma or degree completed,Very likely
6200956221128704,2020   11 26  ,Female,26 to 35 years old,University or college degree completed,Neither likely nor unlikely
6239947500814336,2021 <01>>> 24,Male,26 to 35 years old,Some secondary school / high school,Very likely
5273057167147008,<li>2020 11 17</li>,Female,26 to 35 years old,Technical school diploma or degree completed,Neither likely nor unlikely
5838752022003712,  2021----01++++ 21,Female,26 to 35 years old,Secondary school/ high school completed,Very likely
6731028568997888,2020   12 10  ,Female,Over 45 years old,College or university,Likely
6227366184747008,2020   11 16  ,Female,36 to 45 years old,Technical school diploma or degree completed,Likely
6177224234631168,2021 <01>>> 15,Male,16 to 25 years old,Technical school diploma or degree completed,Very likely
5833380068589568,2020 <12>>> 09,Female,26 to 35 years old,Some secondary school / high school,Very likely
5811109639749632,2020   12 23  ,Male,16 to 25 years old,Prefer not to answer,Very likely
4849485084884992,  2021----01++++ 08,Male,26 to 35 years old,Some secondary school / high school,Neither likely nor unlikely
5257176768839680,<li>2020 12 12</li>,Female,36 to 45 years old,Technical school,Very likely
5177932466356224,2020 <11>>> 16,Male,26 to 35 years old,Secondary school/ high school completed,Likely
4721330575638528,2021 <01>>> 14,Male,26 to 35 years old,Some university or college,Very likely
5869018507640832,2020   11 18  ,Female,26 to 35 years old,Some university or college,Very likely
6343203432431616,<li>2020 11 16</li>,Male,36 to 45 years old,Post-graduate education,Likely
4503682638151680,2021 <01>>> 05,Female,36 to 45 years old,University or college degree completed,Likely
4720308465696768,2020   11 16  ,Male,26 to 35 years old,Technical school diploma or degree completed,Likely
4683940670734336,2020   12 27  ,Female,26 to 35 years old,Some university or college,Very likely
5863855696904192,<li>2020 12 25</li>,Female,Over 45 years old,University or college degree completed,Very likely
6345163237752832,2020   12 05  ,Female,36 to 45 years old,University or college degree completed,Very likely
