Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,Company,Region,Producer,Harvest.Year,Grading.Date,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Moisture,Color,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
essencecoffee,Ethiopia,drima zede,,drima zede,essence coffee,gedio,LevelUp,2014,"March 25th, 2015",Natural / Dry,3.8278363800476254,5.703380350927844,9.384248107623506,8.656494402817243,7.226393315177463,8.212056052054164,10.0,10.0,10.0,8.638020697018979,0.0,,m,1700.0,2000.0,1850.0
cqi q coffee sample representative,United States of America,el rodeo,,,coffee quality institute,antioquia,Nicolás Rueda Urrego,2014,"March 13th, 2015",Washed / Wet,4.996854622985493,7.616233267672515,7.372714841324552,10.0,8.524183959005848,8.502638321575299,10.0,10.0,10.0,8.199115259476505,0.0,None,m,2019.0,2019.0,2019.0
the coffee source inc.,Costa Rica,several,,cafe altura de san ramon,the coffee source inc.,san ramon,SEVERAL,2014,"April 2nd, 2014",Washed / Wet,7.048827862864004,6.62831185948273,9.836273632897102,7.7436041219231475,9.314280128986736,8.202388014954943,10.0,10.0,10.0,8.100540559342548,0.11,Green,m,1300.0,1300.0,1300.0
roberto licona franco,Mexico,la herradura,,la herradura,,xalapa,ROBERTO LICONA FRANCO,2012,"July 26th, 2012",Washed / Wet,5.8902699774215845,8.173260888962805,6.8680285902144185,9.614874654392503,9.429537243032463,8.404091244975929,10.0,10.0,10.0,8.12546135445627,0.13,Green,m,1320.0,1320.0,1320.0
cqi q coffee sample representative,United States of America,la curva,,,coffee quality institute,antioquia,Silvia Elena Higuita,2014,"March 13th, 2015",Washed / Wet,7.165452870479967,5.174366329302557,6.307528749523383,7.178026987903332,8.995378744766246,7.931455364449443,10.0,10.0,10.0,8.878758995590971,0.0,,m,2112.0,2112.0,2112.0
ji-ae ahn,Ethiopia,,,,,sidamo,,2013,"September 3rd, 2013",Natural / Dry,10.0,4.6160531172791215,6.584641209493059,7.384040793410878,9.462571839315142,8.454006298226963,10.0,10.0,10.0,8.535627932722932,0.11,Bluish-Green,m,,,
nucoffee,Brazil,fazenda kaquend,,,nucoffee,south of minas,Ralph Junqueira,2011,"December 3rd, 2011",Natural / Dry,5.576889415990684,6.757049834706291,6.0201573451385055,5.579702515513668,7.773241951438496,7.809688191002759,10.0,10.0,10.0,8.517573222148306,0.12,Green,m,1250.0,1250.0,1250.0
ethiopia commodity exchange,Ethiopia,,,,,sidamo,Green Gold Ethiopia | Phone: 0114342032,2009/2010,"June 16th, 2010",,6.922509870735508,5.868935457334984,7.582070061255668,7.742794085182482,8.875189269241805,8.599221926828513,10.0,10.0,10.0,8.194092197500392,0.05,,m,,,
kabum trading company,Uganda,chebonet (23) women coffee,,kabum trading company,kabum trading company,kapchorwa eastern,Kabum trading company,2013,"June 26th, 2014",Washed / Wet,6.2304043636641895,4.315134300210256,6.7191253294167765,8.610594427060633,8.867402996184728,8.401540805479023,10.0,10.0,10.0,8.31715996344126,0.12,Green,m,1950.0,1950.0,1950.0
bismarck castro,Honduras,los hicaques,102,cigrah s.a de c.v.,cigrah s.a de c.v,comayagua,Reinerio Zepeda,2016,"May 18th, 2017",,8.749437616649379,6.364258338621942,6.935708694413468,5.888043431750663,9.817458900618695,8.16759392511427,10.0,10.0,10.0,8.818163270848686,0.1,Green,m,1400.0,1400.0,1400.0
"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,Tsoustructive 2015 Sumatra Typica,tsoustructive garden 鄒築園,taiwan coffee laboratory,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",2015,"May 18th, 2016",Pulped natural / honey,4.695936542738884,5.460398441679926,10.0,9.888095416678416,5.976943252388293,8.43062064073169,10.0,10.0,10.0,7.925197155570781,0.0,Green,m,1200.0,1200.0,1200.0
nora zeas,Nicaragua,,,beneficio atlantic condega,,,,,"May 18th, 2010",,6.3623016649026685,4.609210209501802,5.952969466124588,8.818593352811197,8.877570619333408,8.510957972448878,10.0,10.0,10.0,8.454432036931236,0.08,,m,,,
specialty coffee-korea,Tanzania,,,,,,,2012,"September 3rd, 2013",Natural / Dry,5.2947085824273845,7.1275548675951255,7.696052278208009,6.915612292177361,9.699737920217597,8.634230434446541,10.0,10.0,10.0,8.454989606280677,0.11,Bluish-Green,m,,,
nucoffee,Brazil,fazenda recreio,,,nucoffee,vale da grama,Homero Texeira de Macedo Junior,2011,"December 3rd, 2011",Natural / Dry,5.313222816751111,5.535314031439307,9.233210447019298,6.983380850349112,7.617098187469609,8.318461962206387,10.0,10.0,10.0,8.516130787072063,0.12,Green,m,1300.0,1300.0,1300.0
francisco a mena,Costa Rica,exclusive coffees s.a.,,"exclusive coffees s.a,",exclusive coffees s.a.,west and central valley,Exclusive Coffees S.A.,2015/2016,"December 3rd, 2015",Washed / Wet,4.656602370324425,7.1116268041999815,7.9989916946621245,8.813596909440935,9.596877648903464,8.721131947795861,10.0,10.0,10.0,8.085575261481225,0.0,Blue-Green,m,1300.0,1300.0,1300.0
hider abamecha,Ethiopia,haider abamecha coffee plantation,,faysal abamecha processing plant at yebu town,haider abamecha coffee export,oromia,Haider Abamecha Abadiko,2014,"March 27th, 2015",Natural / Dry,7.621623796073225,5.587719283642096,8.770980017881111,6.908125805409307,7.703988963278282,8.533608486211932,10.0,10.0,10.0,7.980224278316228,0.1,Green,m,1750.0,1800.0,1775.0
daniel magu,Kenya,kangunu,,central kenya coffee mills,c dorman ltd,muranga,Kangunu,2013,"May 30th, 2014",Washed / Wet,9.128002310713347,6.988820538248247,7.593125272107666,7.8532954773020025,9.048699552915137,8.41774526004924,10.0,10.0,10.0,8.925243679422831,0.12,Blue-Green,m,1800.0,1800.0,1800.0
kona pacific farmers cooperative,United States of America,,,,kona pacific farmers cooperative,kona,,2012,"April 6th, 2012",Natural / Dry,5.2915530303090375,7.226206898151817,10.0,6.19897294374838,7.363549289665112,8.303349134145769,10.0,10.0,10.0,8.304165362218177,0.0,,ft,,,
kona pacific farmers cooperative,United States of America,kona pacific farmers cooperative,,,,kona,Kona Pacific Farmers Co-Op,2010,"January 28th, 2011",,5.893948858267533,4.019280253786549,7.277303413411016,7.4797892836155535,7.513990064437642,8.344487815030279,10.0,10.0,10.0,8.472674387180177,0.0,,ft,,,
ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",,,,yirgacheffe,Contact name | ATO Teshome Belamo,2009/2010,"June 17th, 2010",,7.559839482048805,7.800707357408804,9.612480139759858,9.408510205929772,7.865967885469723,8.175835553569454,10.0,10.0,10.0,8.542196380344295,0.1,,m,,,
cqi q coffee sample representative,United States of America,la primavera,,,coffee quality institute,antioquia,Hugo Sepúlveda Montoya,2014,"March 13th, 2015",Washed / Wet,4.392061651329543,7.298527279841743,6.5548644454310265,6.829640062681875,8.988144311918754,8.201121081199405,10.0,10.0,10.0,8.560576582672324,0.0,,m,1941.0,1941.0,1941.0
itdp international,Thailand,co-op #12,,,lanna cafe,chiang rai,ITDP,2012,"April 12th, 2012",Washed / Wet,7.6568355903042224,6.5571556969257845,5.632332258368793,7.699528725463063,8.768930202629896,8.329081083603137,10.0,10.0,10.0,8.065072427863122,0.1,Green,m,1300.0,1300.0,1300.0
jacques pereira carneiro,Brazil,pereira estate coffee,,cocarive,,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,2010,"January 4th, 2011",,7.500846023723674,7.067105994397662,7.277988788798469,8.574731711486772,8.369351051857779,9.129841721188065,10.0,10.0,10.0,8.557447260794673,0.08,,m,12.0,12.0,12.0
jacques pereira carneiro,Brazil,pereira estate coffee,,cocarive,,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,2010,"January 4th, 2011",,8.15798182152464,5.528582348673413,9.063763009894217,9.349372631817364,8.492490414587222,8.11975583352947,10.0,10.0,10.0,8.288320346575379,0.01,,m,12.0,12.0,12.0
"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,natou county,LIN YEN CHIEN 林言謙,2015,"June 10th, 2015",Semi-washed / Semi-pulped,5.271455351062178,5.389146961240801,5.602619212566206,6.582681476693296,5.6571636851132405,8.554214656239878,10.0,10.0,10.0,8.478076770029695,0.12,Green,m,1000.0,1000.0,1000.0
jungle estate,Kenya,jungle estate,,nkg coffee mills,keremara limited,nyeri,JUNGLE ESTATE,2014,"January 29th, 2015",Natural / Dry,10.0,7.730370084923672,8.477564963989684,5.430557537419458,7.564040987793034,8.372403715636409,10.0,10.0,10.0,8.582552569201333,0.11,Bluish-Green,m,1754.0,1754.0,1754.0
nucoffee,Brazil,fazenda kaquend,,,nucoffee,south of minas,Ralph Junqueira,2011,"December 3rd, 2011",Semi-washed / Semi-pulped,9.398670540923264,7.923367234690367,6.118976404295461,7.6803650660799185,6.546335953964018,8.221294094123488,10.0,10.0,10.0,8.309838193440967,0.11,Blue-Green,m,1250.0,1250.0,1250.0
great lakes coffee uganda,Uganda,kaasayi,,great lakes coffee,ucda,eastern uganda,Kaasay Farmer Group,2014,"October 1st, 2014",Semi-washed / Semi-pulped,6.889714558026383,8.686691702354091,7.468926710062445,6.98830085559085,5.981192673104969,8.796188081699173,10.0,10.0,10.0,8.291746161752473,0.0,,m,,,
lusso lab,Colombia,ecobio colombia,,,lusso coffee lab,tolima,,2013,"March 20th, 2014",Washed / Wet,7.41102773724606,7.988346251066492,7.742816272962584,8.564292224839978,9.122438391733901,8.296352912979343,10.0,10.0,10.0,8.494535810246239,0.12,Green,m,900.0,1500.0,1200.0
lusso lab,Kenya,kianjavi,,,lusso coffee lab,kiambu,,2013,"February 6th, 2014",Washed / Wet,7.539848618813789,6.534635686965751,8.170175256892373,7.909104976781019,8.97428954435861,8.65003073336044,10.0,10.0,10.0,8.399849028673996,0.11,Green,m,1520.0,2200.0,1860.0
afca,Uganda,,,,kawacom uganda ltd,"sipi, mt elgon",Kawacom,2012,"February 13th, 2012",Washed / Wet,5.5637969595029055,7.911037456841275,7.3712860326350516,5.3403567546788695,8.817570878966555,8.374044318322035,10.0,10.0,10.0,7.904810866458589,0.1,Blue-Green,m,1400.0,1900.0,1650.0
ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,,coffee processing and warehouse enterpri,,sidamo,Sidama Coffee Farmers Coop. Union,2009/2010,"June 17th, 2010",,8.888023536716915,7.30888843062607,8.187228282705927,7.521698297509505,8.563293514213571,8.498939357139143,10.0,10.0,10.0,8.681534050270036,0.01,,m,1500.0,2000.0,1750.0
grounds for health admin,United States of America,hula daddy kona coffee,,,,kona,Hula Daddy Kona Coffee,Fall 2009,"May 31st, 2010",,8.819571564782311,5.898930900917794,7.2887195973653744,8.611942642913577,8.866135517127383,9.08652324151341,10.0,10.0,10.0,8.545118371559544,0.0,,ft,1280.1600000000005,1280.1600000000005,1280.1600000000005
juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0252,beneficio ixchel,"unex guatemala, s.a.",nuevo oriente,MARGARITA AVILA DE NUYENS,2016,"May 16th, 2016",Washed / Wet,6.843442747494807,4.134367792206489,8.093840483879019,5.2510641255837855,9.023754193329973,8.247434664025683,10.0,10.0,10.0,7.952585729277407,0.1,Green,m,,,
kawacom uganda ltd,Uganda,sipi organic coffee project,,kawacom,kawacom uganda ltd,eastern,Kawacom (U)Ltd,2013,"June 30th, 2014",Natural / Dry,10.0,7.39685232132916,10.0,8.558814718525415,8.052843292571419,8.436105994717746,10.0,10.0,10.0,7.888575385229296,0.12,Green,m,1400.0,1900.0,1650.0
exportadora de cafe condor s.a,Colombia,,,trilladora boananza,exportadora de cafe condor s.a,huila,,2013,"July 26th, 2013",Washed / Wet,9.260468422499798,7.062381043317659,9.515858795744997,5.167947370276068,9.138726038410043,7.986567871761083,10.0,10.0,10.0,8.211112917227227,0.0,Blue-Green,m,1800.0,1800.0,1800.0
gonzalo hernandez,Panama,la berlina estate,Baby Geisha Washed,beneficio casa ruiz s.a.,ce specialty s.a.,boquete,Plinio Ruiz,2017,"October 9th, 2017",Washed / Wet,4.165966793492538,5.0589560006954,6.4226372166200925,9.234940368567377,9.399271850885775,8.320956317635764,10.0,10.0,10.0,8.497662283922232,0.08,Bluish-Green,m,1600.0,1600.0,1600.0
ibrahim hussien speciality coffee producer &export,Ethiopia,,,burka gudina,ibrahim hussien specality coffee product & exporter,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,2014,"April 4th, 2015",Washed / Wet,7.341394101867646,6.8071393047171425,6.926394378416194,7.585802822236067,9.009403249681313,8.492226976117134,10.0,10.0,10.0,8.41956277369205,0.1,Green,m,1800.0,2000.0,1900.0
juan luis alvarado romero,Guatemala,valparaiso,,beneficio valparaiso,sertrasa,acatenango,SERTRASA,2012,"July 3rd, 2012",Washed / Wet,6.014722313194419,7.726908823339538,7.675897722293389,5.840116032064038,9.2394126594079,8.515695073192491,10.0,10.0,10.0,8.8841768895477,0.12,Green,ft,4572.0,4572.0,4572.0
juan luis alvarado romero,Guatemala,finca el limon,,beneficio serben,unicafe,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,2012,"June 5th, 2012",Washed / Wet,7.159425641320651,7.421219232451807,5.45898409918696,9.537171959750957,8.569358705711632,8.134341548741293,10.0,10.0,10.0,8.404751323550775,0.1,Bluish-Green,ft,4251.96,4251.96,4251.96
seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,320,seid damtew coffee export and plantation,seid damtew coffee planation,addis ababa,seid damtew coffee export and plantation,2017,"June 23rd, 2017",Natural / Dry,7.141741243270954,8.884133327838331,7.73404993332985,7.079358245782091,9.086555867027368,8.700610162196035,10.0,10.0,10.0,8.025966175202376,0.09,None,m,,,
dane loraas,Peru,,,,sustainable harvest,cajamarca,,2013,"January 22nd, 2014",Washed / Wet,7.261095656740317,6.480458664289354,7.125009420317283,5.816873515121513,9.70574998358854,8.190303404249427,10.0,10.0,10.0,8.565479882268804,0.1,Green,m,,,
"colbran coffeelands, ltd.",Papua New Guinea,tairora cherry – bonta,,baroida,cqi,eastern highlands province,"Colbran CoffeeLands, Ltd.",2012,"October 25th, 2012",Washed / Wet,6.720930865103487,6.382008185202237,7.021640850766629,7.9364011972250035,8.679123027807746,8.704615939569482,9.33,9.33,10.0,9.067846811729666,0.12,Bluish-Green,m,1700.0,1700.0,1700.0
atlantic specialty coffee,El Salvador,el majahual,,j. hill y cia,atlantic specialty coffee,apaneca,Aida Batlle,2013,"March 18th, 2013",Washed / Wet,5.626410115708941,7.215858041553793,10.0,3.988027018151258,9.220111299495155,8.538585907483622,10.0,10.0,10.0,8.539557188591017,0.1,Blue-Green,m,1500.0,1500.0,1500.0
lusso lab,El Salvador,finca la esmeralda,,"aqua caliente, j.j. borja nathan. s.a",lusso coffee lab,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,2012,"January 12th, 2013",Semi-washed / Semi-pulped,5.913317688492272,7.4295858794140734,5.4111159130973725,5.24614249680972,9.947213591885133,8.228369043322282,10.0,10.0,10.0,7.891422049391438,0.11,None,m,1300.0,1400.0,1350.0
kona pacific farmers cooperative,United States of America,,,,kona pacific farmers cooperative,kona,,2012,"April 6th, 2012",Natural / Dry,8.876212924459516,5.3565714746955235,10.0,7.436045537804345,7.93639100573245,8.89511245613313,10.0,10.0,10.0,8.10433389049648,0.0,,ft,,,
essencecoffee,Panama,elida estate,,elida estate,essence coffee,boquete,Lamastus,2014,"May 23rd, 2015",Natural / Dry,7.015389685708892,4.655537785488763,6.874020540782769,7.394221912048208,6.315956398253642,8.339237691099044,10.0,10.0,10.0,9.464550925486057,0.09,,m,1680.0,1680.0,1680.0
essencecoffee,Kenya,inoi,,inoi,essence coffee,kirinyaga,,2014,"May 23rd, 2015",Natural / Dry,8.44415940735253,6.918681938808104,6.685639163013106,9.242244887630012,8.350936828195879,8.613724664180946,10.0,10.0,10.0,8.358921119390425,0.1,Green,m,1900.0,1900.0,1900.0
assefa belay coffee producer,Ethiopia,,,,assefa belay coffee producer,oromia,Assefa Belay Coffee Producer,2015,"March 31st, 2015",Natural / Dry,8.389936414828068,5.298812546002222,6.586861039285092,8.497957767701196,8.715880236102091,7.987173471317017,10.0,10.0,10.0,8.777296056554688,0.12,Green,m,1800.0,2000.0,1900.0
kyagalanyi ltd,Uganda,buginyanya,,kyagalanyi coffee ltd,kyagalanyi coffee ltd,bulambuli eastern region,Kyagalanyi coffee Ltd,2013,"June 26th, 2014",Washed / Wet,7.202829935957529,6.0369821851510475,7.165764989971928,7.532009406377065,9.007472942412312,8.298075013419334,10.0,10.0,10.0,8.990947953025312,0.12,Green,m,1600.0,1600.0,1600.0
juan luis alvarado romero,Guatemala,asoperc,,beneficio exportacafe agua santa,exportcafe,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),2013,"February 26th, 2013",Washed / Wet,8.164017059526884,4.015852133852777,8.967455823353571,6.856351192431728,8.763809052947254,8.559479698421306,10.0,10.0,10.0,8.146966094956943,0.11,Green,ft,5120.64,5266.944,5193.792
assefa belay coffee producer,Ethiopia,,,,assefa belay coffee producer,oromia,Assefa Belay Coffee Producer,2015,"March 31st, 2015",Washed / Wet,5.775916490204287,7.897809143411496,7.908822341207678,7.500785629659386,8.71390435513718,8.853602482619944,10.0,10.0,10.0,7.873396317630898,0.1,Green,m,1800.0,2000.0,1900.0
great lakes coffee uganda,Uganda,chesiyo farmer group,,great lakes coffee,great lakes coffee,kapchorwa,Chesiyo Farmer group,2013,"June 26th, 2014",Washed / Wet,8.425864069345499,9.243327284265106,6.7988289534566775,10.0,8.966499713139289,8.600127063197748,10.0,10.0,10.0,8.444350243335153,0.12,Green,m,1950.0,1950.0,1950.0
kona pacific farmers cooperative,United States of America,,,,kona pacific farmers cooperative,kona,,2012,"April 6th, 2012",Natural / Dry,6.729502002695532,6.3653215664577605,7.3024278473567374,9.713865980764325,8.155983892425002,7.734033390103765,10.0,10.0,10.0,8.348584632016205,0.0,,ft,,,
nucoffee,Brazil,fazenda serra de três barras,,,nucoffee,south of minas,José Vagner Ribeiro Junqueira,2011,"December 3rd, 2011",Semi-washed / Semi-pulped,4.584519747231451,7.441799248429272,7.411754940615113,7.305454960717684,7.610580469761943,7.979454414056005,10.0,10.0,10.0,8.885320055879095,0.11,Blue-Green,m,1250.0,1250.0,1250.0
grounds for health admin,El Salvador,sierra nevada,,beneficio las tres puertas,,apaneca,J. Hill y Cia SA de CV,2009 / 2010,"May 31st, 2010",,2.8653789871036377,9.156120176506047,8.465716616596561,5.880597807265843,8.78113938852053,8.725002951978738,10.0,10.0,10.0,8.5790587409543,0.01,,m,1400.0,1400.0,1400.0
yunnan coffee exchange,China,pu'er city longke coffee co.ltd,YNC-16115,pu'er city longke coffee co.ltd,yunnan coffee exchange,yunnan,Pu'er City Longke Coffee Co.Ltd,2015,"April 6th, 2016",Natural / Dry,5.785709605987577,6.484017732305379,5.8146267116864845,6.3562268897603165,8.087141427520374,8.605799399899299,10.0,10.0,10.0,8.138541190494811,0.1,Green,m,1700.0,1700.0,1700.0
essencecoffee,Guatemala,el injerto s.a.,,el injerto s.a.,essence coffee,huehuetenango,Arturo Aguirre,2014,"May 23rd, 2015",Natural / Dry,7.58520882341097,9.19163180680611,7.829175347058205,7.3775099006839815,8.839558855920744,8.231030748793824,10.0,10.0,10.0,8.103257085822863,0.11,Green,m,1770.0,1770.0,1770.0
the coffee source inc.,Costa Rica,several,,cafe altura de san ramon,the coffee source inc.,west valley,Cafe Altura de San Ramon,2014,"May 1st, 2014",Washed / Wet,6.761984176690277,8.014578647155712,7.6448395631618276,8.834710045069743,9.327973733566136,8.446393315497334,10.0,10.0,9.33,8.441103437183452,0.0,Bluish-Green,m,1300.0,1300.0,1300.0
the coffee source inc.,Costa Rica,several,,cafe altura de san ramon,the coffee source inc.,san ramon,SEVERAL,2014,"May 1st, 2014",Washed / Wet,9.918382071859284,7.262279806545497,6.8563678350885775,9.121473263001565,8.4237108709155,8.480814860352249,10.0,10.0,10.0,8.752205495612793,0.1,Bluish-Green,m,1300.0,1300.0,1300.0
rashid moledina & co. (msa) ltd.,Kenya,,,,rashid moledina & co. (msa) ltd,central kenya,Kianjogu - Rutuma F.C.S. Ltd.,2012,"April 19th, 2013",Washed / Wet,7.529436329159599,8.257607738260463,7.476548425894578,8.739584053750153,9.224864958913267,8.370054566045622,10.0,10.0,10.0,7.9851641055985105,0.0,Green,m,1600.0,1600.0,1600.0
ibero kenya limited,Kenya,,,nkg/ck/hc/ss/kccm,ibero kenya limited,central kenya,Blend from various Producers,2012,"March 12th, 2013",Washed / Wet,5.850665468815628,4.5558413896095065,5.404436465057701,7.24194266996224,9.0713486697987,8.327759701099554,10.0,10.0,10.0,8.043153044345297,0.0,Green,m,1200.0,1200.0,1200.0
ethiopia commodity exchange,Ethiopia,phone number | 0911-513824 email: gmt.ft,,,,yirgacheffe,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",2009/2010,"June 17th, 2010",,5.167652946346751,6.208750885180566,10.0,7.999669855089022,9.91961136353125,8.407471264931225,10.0,10.0,10.0,7.7364375826705185,0.05,,m,,,
